means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaTime	means.Mu	means.BetaTime	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaTime	std.err.Mu	std.err.BetaTime
BCST	1	-870.2676	1742.54946	0.126388	NA	NA	NA	BCST	1	0.098586414947097	0.197175955579239	4.50875691170958e-05	NA	NA	NA
BCSTDCST	2	-870.26761	1744.57836	0.126387	NA	0	NA	BCSTDCST	2	0.0985874834752351	0.197177602616873	4.50287225955373e-05	NA	0	NA
BTimeVar_EXPO	2	-863.34244	1730.7281	0.098239	0.0342317	NA	NA	BTimeVar_EXPO	2	0.0685757537621018	0.137158864242906	9.34079247389663e-05	7.58195698465585e-05	NA	NA
BTimeVarDCST_EXPO	3	-863.34254	1732.77183	0.098236	0.0342232	0	NA	BTimeVarDCST_EXPO	3	0.0685764152702162	0.137158450031894	9.46500198765234e-05	7.58489834000976e-05	0	NA
BCSTDTimeVar_EXPO	3	-870.26944	1746.62553	0.126533	NA	0	0.0063752	BCSTDTimeVar_EXPO	3	0.0985969085097334	0.19720183192902	6.15630579244576e-05	NA	0	0.000103445245361393
BTimeVarDTimeVar_EXPO	4	-863.34278	1734.83053	0.09818	0.0342871	0	0.0301424	BTimeVarDTimeVar_EXPO	4	0.0685636688256125	0.137128605459815	9.28667993646945e-05	7.59705279112309e-05	0	0.000833080920803052
BTimeVar_LIN	2	-861.76968	1727.58259	0.085271	0.0061044	NA	NA	BTimeVar_LIN	2	0.0593572115384149	0.118705774195162	0.000155870284065134	1.7369030840068e-05	NA	NA
BTimeVarDCST_LIN	3	-861.76989	1729.62636	0.085207	0.0061097	0	NA	BTimeVarDCST_LIN	3	0.0593566414807878	0.118709537302041	0.000154960112169669	1.7534067849576e-05	0	NA
BCSTDTimeVar_LIN	3	-870.32552	1746.73777	0.126292	NA	0	0	BCSTDTimeVar_LIN	3	0.0986202414120019	0.197257139700004	4.35467935940551e-05	NA	0	0
BTimeVarDTimeVar_LIN	4	-850.30583	1708.75663	0.002639	0.0668429	0.0775407	-0.0554727	BTimeVarDTimeVar_LIN	4	0.110170305312853	0.220330128182345	0.0001378470459633	0.000262446234801752	0.000542268658582448	0.000225977555647825
